scrip,type,date,price,quantity
BANKRAJAS,Buy,06/05/10,93.20,500
BANKRAJAS,Sell,06/05/10,92.30,2300
SPANCO,Buy,10/05/10,115.50,520
GRAPHITE,Buy,10/05/10,98.20,200
TATAMOTORS,Buy,11/05/10,807.00,18
CLUTCHAUTO,Buy,11/05/10,67.35,220
TRIL,Buy,11/05/10,417.00,36
MERCATOR,Buy,11/05/10,54.55,280
UBENGG,Buy,11/05/10,181.50,82
DHANBANK,Buy,11/05/10,146.90,135
TIMESGTY,Buy,14/05/10,159.00,65
531555,Buy,14/05/10,57.90,200
MEUKAR,Sell,19/05/10,19.00,800
531952,Buy,20/05/10,12.60,158
SPANCO,Sell,21/05/10,106.80,100
SPANCO,Sell,21/05/10,108.00,100
SPANCO,Sell,21/05/10,107.60,100
SPANCO,Sell,21/05/10,107.50,200
TATAMOTORS,Sell,21/05/10,680.00,18
CLUTCHAUTO,Sell,21/05/10,56.75,220
MERCATOR,Sell,21/05/10,47.70,280
531555,Buy,24/05/10,51.10,100
SPANCO,Buy,24/05/10,115.35,800
EMPEESUG,Buy,16/06/10,46.60,225
NOVARTIND,Buy,16/06/10,680.00,35
531952,Sell,16/06/10,11.80,192
RPOWER,Buy,16/06/10,177.15,85
531555,Sell,18/06/10,47.68,300
UPL,Buy,18/06/10,193.45,25
HONAUT,Buy,21/06/10,2919.95,4
HONAUT,Buy,24/06/10,2779.05,1
TIMESGTY,Sell,30/06/10,114.50,65
519566,Buy,30/06/10,51.00,140
DHANBANK,Sell,30/06/10,183.75,135
RALLIS,Buy,05/07/10,1114.00,11
HONAUT,Buy,05/07/10,2996.00,4
GRAPHITE,Sell,13/07/10,105.70,200
PANASONIC,Buy,14/07/10,226.00,110
UPL,Sell,20/07/10,175.70,25
519566,Buy,21/07/10,51.85,80
RALLIS,Sell,27/07/10,1214.00,11
UBENGG,Sell,27/07/10,196.00,82
WHIRLPOOL,Buy,28/07/10,281.00,100
RPOWER,Sell,02/08/10,162.30,85
VIPIND,Buy,04/08/10,468.00,47
TRIL,Sell,10/08/10,406.00,36
EMPEESUG,Buy,11/08/10,64.48,220
SPANCO,Sell,11/08/10,98.00,600
TI,Buy,12/08/10,238.00,50
KTKBANK,Buy,16/08/10,177.50,55
KTKBANK,Sell,23/08/10,172.50,55
JVLAGRO,Buy,24/08/10,445.70,21
HONAUT,Sell,26/08/10,2449.78,9
519566,Buy,27/08/10,59.70,80
SPANCO,Sell,30/08/10,94.54,220
NOVARTIND,Sell,08/09/10,654.15,35
AXISCADES,Buy,09/09/10,142.00,158
513693,Buy,15/09/10,298.50,50
SATYAMCOMP,Buy,23/09/10,111.50,130
WHIRLPOOL,Sell,23/09/10,296.00,80
SATYAMCOMP,Buy,23/09/10,111.00,215
ORCHIDPHAR,Buy,04/10/10,281.70,70
TATAMOTORS,Buy,04/10/10,1134.20,17
NAVNETEDUL,Buy,06/10/10,72.50,135
KFA,Buy,06/10/10,78.00,130
ORIENTBANK,Buy,07/10/10,510.00,40
EMPEESUG,Sell,08/10/10,63.58,445
VIPIND,Sell,08/10/10,618.45,47
MODILUFT,Buy,11/10/10,76.75,130
JETAIRWAYS,Buy,11/10/10,845.76,12
SPANCO,Buy,13/10/10,161.48,230
519566,Buy,27/10/10,78.55,60
MODILUFT,Buy,27/10/10,85.00,58
TI,Buy,27/10/10,99.85,50
ORCHIDPHAR,Buy,27/10/10,333.65,15
TI,Buy,01/11/10,101.00,50
PANASONIC,Sell,02/11/10,153.35,110
TITAN,Buy,02/11/10,3865.00,4
SPICEMOBI,Buy,03/11/10,138.20,108
513693,Sell,11/11/10,300.00,50
KFA,Sell,12/11/10,83.05,130
SATYAMCOMP,Sell,16/11/10,76.95,345
EMPEESUG,Buy,30/11/10,65.25,230
FEDERALBNK,Buy,30/11/10,439.00,34
VIPIND,Buy,01/12/10,633.90,24
TATAMOTORS,Buy,07/12/10,1347.25,2
TATAMOTORS,Sell,09/12/10,1303.90,17
INDIASEC,Buy,27/12/10,55.80,100
TATAMOTORS,Buy,27/12/10,1312.80,3
INDIASEC,Buy,14/01/11,65.00,55
MODILUFT,Sell,01/02/11,59.43,188
JETAIRWAYS,Sell,01/02/11,544.20,12
INDIASEC,Buy,02/02/11,67.50,14
AXISCADES,Buy,02/02/11,82.25,12
TATAMOTORS,Buy,16/02/11,1227.00,8
BERGEPAINT,Buy,08/03/11,87.00,170
KOKUYOCMLN,Buy,08/03/11,50.70,100
EMPEESUG,Sell,15/03/11,63.63,200
JVLAGRO,Sell,15/03/11,17.30,210
519566,Sell,15/03/11,24.87,360
TI,Sell,15/03/11,56.59,250
TTKPRESTIG,Buy,25/03/11,2135.00,9
KOKUYOCMLN,Buy,31/03/11,56.50,90
ORIENTBANK,Buy,04/04/11,387.90,12
CUB,Buy,04/04/11,48.50,200
EMPEESUG,Buy,06/04/11,75.95,70
KOKUYOCMLN,Sell,18/04/11,72.15,180
BERGEPAINT,Sell,19/05/11,103.77,160
ORCHIDPHAR,Sell,23/05/11,270.05,80
KOKUYOCMLN,Buy,30/05/11,85.45,170
VIPIND,Buy,10/06/11,761.95,2
BERGEPAINT,Buy,10/06/11,102.84,20
TTKPRESTIG,Sell,16/06/11,2695.86,8
VIPIND,Sell,16/06/11,740.30,25
VIPIND,Buy,21/06/11,702.55,7
BERGEPAINT,Buy,21/06/11,99.80,50
TTKPRESTIG,Buy,21/06/11,2529.95,2
VIPIND,Buy,29/06/11,769.00,12
TTKPRESTIG,Buy,29/06/11,2958.45,3
TATAMOTORS,Buy,29/06/11,991.80,5
BERGEPAINT,Sell,04/08/11,102.10,75
AXISCADES,Buy,09/09/11,105.99,55
VIPIND,Sell,25/10/11,867.35,19
TATAMOTORS,Buy,25/10/11,187.05,90
ICICIBANK,Buy,06/02/12,930.50,10
HDFCBANK,Buy,06/02/12,510.00,20
AXISBANK,Buy,06/02/12,1108.20,9
VIPIND,Buy,06/02/12,113.80,42
HDFCBANK,Buy,13/03/12,522.24,9
ICICIBANK,Buy,13/03/12,935.70,5
AXISBANK,Buy,13/03/12,1240.10,9
TATAMOTORS,Sell,21/03/12,268.45,178
KOKUYOCMLN,Sell,21/03/12,33.65,180
JUBLFOOD,Buy,12/04/12,1162.00,8
BERGEPAINT,Buy,16/05/12,130.65,40
TATAMOTORS,Buy,16/05/12,269.75,20
VIPIND,Buy,25/05/12,81.80,60
CUB,Buy,25/05/12,48.35,100
AXISBANK,Buy,25/05/12,1005.50,5
ICICIBANK,Buy,25/05/12,811.00,6
TATAMOTORS,Buy,30/05/12,246.65,18
CUB,Buy,09/07/12,53.60,100
TTKPRESTIG,Buy,09/07/12,3258.05,3
JUBLFOOD,Buy,09/07/12,1247.95,5
HDFCBANK,Buy,09/07/12,576.35,10
TITAN,Buy,09/07/12,230.15,35
WOCKPHARMA,Buy,17/08/12,1286.60,1
TATAMOTORS,Buy,21/08/12,245.55,41
HDFCBANK,Buy,21/08/12,595.45,16
ICICIBANK,Buy,21/08/12,965.70,10
CUB,Buy,21/08/12,50.75,100
FEDERALBNK,Buy,21/08/12,439.80,11
AXISBANK,Buy,21/08/12,1112.95,5
MCLEODRUSS,Buy,21/08/12,318.40,15
DIVISLAB,Buy,21/08/12,1178.00,5
BATAINDIA,Buy,21/08/12,895.95,6
LUPIN,Buy,21/08/12,573.80,20
HINDUNILVR,Buy,21/08/12,501.80,20
ASIANPAINT,Buy,21/08/12,3685.00,2
ITC,Buy,21/08/12,261.00,35
ORIENTPPR,Buy,21/08/12,69.20,100
APOLLOHOSP,Buy,21/08/12,625.50,8
BERGEPAINT,Buy,21/08/12,135.30,70
SUNPHARMA,Buy,21/08/12,659.30,10
GLENMARK,Buy,21/08/12,414.45,10
WOCKPHARMA,Buy,21/08/12,1271.95,8
STAR,Buy,21/08/12,828.60,12
TCS,Buy,21/08/12,1299.25,5
MINDTREE,Buy,21/08/12,649.05,15
AXISCADES,Buy,23/08/12,100.95,50
MRF,Buy,23/08/12,10877.00,1
GODREJCP,Buy,23/08/12,654.95,7
ORCHIDPHAR,Buy,23/08/12,114.75,50
VIPIND,Buy,03/09/12,75.85,65
APOLLOHOSP,Buy,05/10/12,777.00,10
TTKPRESTIG,Buy,09/10/12,3760.00,2
ICICIBANK,Buy,09/10/12,1067.45,5
HDFCBANK,Buy,09/10/12,627.10,8
SHREECEM,Buy,09/10/12,3887.95,2
JKCEMENT,Buy,09/10/12,252.70,20
JKLAKSHMI,Buy,09/10/12,113.55,50
ULTRACEMCO,Buy,09/10/12,2023.65,3
532201,Buy,09/10/12,212.10,25
TTKPRESTIG,Sell,12/10/12,3385.80,10
VIPIND,Sell,01/11/12,78.40,171
JKLAKSHMI,Buy,01/11/12,124.95,70
SHREECEM,Buy,01/11/12,4226.80,1
GLENMARK,Buy,01/11/12,430.70,20
APOLLOHOSP,Buy,01/11/12,775.30,10
ORCHIDPHAR,Buy,02/11/12,105.80,50
JKCEMENT,Buy,08/11/12,310.49,20
TATAMOTORS,Buy,08/11/12,276.70,20
